Marca,Submarca,Versión,Modelo,Trans.,Comb.,Cilindros,Potencia (HP),Tamaño (L),Categoría,R. Ciudad (km/l),R. Carr. (km/l),R. Comb. (km/l),R. Ajust. (km/l),CO2(g/km),NOx (g/1000km),Calificación Gas Ef. Inv.,Calificación Contam. Aire
FORD,FUSION,HIBRIDO 4PTS 2.0L 4CIL 188HP AUT (CVT),2015,CVT,Gasolina,4,188.0,2.0,AUTOS COMPACTOS,27.44,28.57,28.93,21.7,107.0,5.0,10,9
FORD,FUSION,HIBRIDO 4PTS 2.0L 4CIL 188HP AUT (eCVT),2016,CVT,Gasolina,4,188.0,2.0,AUTOS COMPACTOS,27.44,28.57,28.93,21.7,107.0,0.0,10,9
FORD,FUSION,HIBRIDO 4X2 4PTAS 2.0L 4CIL 141(+47e)HP E-CVT,2017,CVT,Gasolina,4,188.0,2.0,AUTOS COMPACTOS,25.62,24.77,25.23,18.92,123.0,2.0,10,9
FORD,FUSION,HIBRIDO 4PTAS 2.0L 4CIL 188HP AUT eCVT,2018,AUT,Gasolina,4,188.0,2.0,AUTOS COMPACTOS,25.62,24.77,25.23,18.92,123.0,2.0,10,9
FORD,FUSION,HYBRID 4PTS 2.5L 4CIL 156HP CVT,2011,CVT,Gasolina,4,156.0,2.5,AUTOS COMPACTOS,24.0,21.9,23.01,17.26,135.0,5.0,9,9
FORD,FUSION,HYBRID 4PTS 2.5L 4CIL 156HP CVT,2012,CVT,Gasolina,4,156.0,2.5,AUTOS COMPACTOS,24.0,21.9,23.01,17.26,135.0,6.0,9,9
HONDA,CIVIC,HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2013,CVT,Gasolina,4,90.0,1.5,AUTOS COMPACTOS,23.8,26.7,26.15,19.61,119.0,7.0,10,9
HONDA,CIVIC,HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2014,CVT,Gasolina,4,90.0,1.5,AUTOS COMPACTOS,23.8,26.7,26.15,19.61,119.0,7.0,10,9
HONDA,CIVIC,HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2012,CVT,Gasolina,4,90.0,1.5,AUTOS COMPACTOS,23.2,26.1,24.42,18.32,127.0,7.0,9,9
HONDA,CIVIC HIBRIDO,4PTS 1.3L 4CIL 110HP CVT,2011,CVT,Gasolina,4,110.0,1.3,AUTOS COMPACTOS,21.8,25.4,23.29,17.46,134.0,10.0,9,9
